Name,Country,Sector,Company
Mario Leão,Brasil,Finanzas,Santander
Mario Simán,El Salvador,Retail,Grupo Unicomer
Marlene Garayzar Gómez,México,Fintech,Stori
Marliz Mejía,México,Finanzas,Deutsche Securities
Marta Díez,Brasil,Farmacéutica,Pfizer
Marta Elisa Deus Rodríguez,Cuba,Medios y Entretenimiento,Negolution Magazine
Marta Sanchez,Colombia,Energía,Schneider Electric
Martín Migoya,Argentina,Tecnología,Globant
María Artunduaga,Colombia,Salud,Respira Labs
María Asunción Aramburuzabala,México,Inversionista,Tresalia
María Elena Bottazzi,Honduras,Salud,Científica
María Eugenia Escobedo,México,Automotriz,BMW
María Fernanda Mejía,EEUU,Alimentos y Bebidas,Newell Brands
María Julia Bearzi,Argentina,Consultoría,Endeavor Argentina
María Lorena Gutiérrez,Colombia,Finanzas,Corficolombiana
María Maribel Dos Santos,México,Tecnología,Oracle
María Olivia Recart,Chile,Minería,Aceros del Pacífico (CAP)
María Teresa Arnal,México,Fintech,Stripe
María Tettamanti,Argentina,Energía,Camuzzi Gas Pampeana y Camuzzi Gas del Sur
María del Rosario Paz Gutiérrez,Bolivia,Salud,Farmacorp - Grupo Gutiérrez
Matías Muchnick,Chile,Alimentos,Notco
Mauricio Ramos,Colombia,Telecomunicaciones,Millicom
Mayra González,México,Automotriz,Nissan
Melanie Devlyn,México,Comercio,Grupo Devlyn
Michael Healy,Nicaragua,Agronegocios,COSEP
Michelle Ferrari,México,Activista,Women Economic Forum
Miguel Cortés,Colombia,Finanzas,Grupo Bolívar
Miguel Fernández,México,Comercio,Tupperware
Miguel Galuccio,Argentina,Energía,Vista
Miguel Mauricio Facussé,Honduras,Alimentos y Bebidas,Corporación Dinant
Miguel McCallister y José Calderón,Colombia,Comercio,Merqueo
Miguel Rincón Arredondo,México,Industria Forestal y Papel,Bio Pappel
Milton Maluhy Filho,Brasil,Finanzas,Itaú Unibanco
Miriam Cosío y Adolfo Babatz,México,Fintech,Clip
Monique Evelle,Brasil,Fintech,Nubank
Monique Oliveira,Brasil,Foodtech,Movile/iFood
Murilo Ribeiro de Castro Parada,Brasil,Agronegocios,Louis Dreyfus Company
Mónica Aspe,México,Telecomunicaciones,AT&T
Mónica Flores,México,Recursos Humanos,Manpower
Mónica Michel,México,Alimentos y bebidas,Diageo
Mónica Taher,El Salvador,Criptoactivos,Gobierno
Nancy Duarte,Venezuela,Alimentos,Ron Santa Teresa
Nathalia Arcuri,Brasil,Medios y Entretenimiento,Me Poupe
Nathália Rodrigues,Brasil,Medios y Entretenimiento,Nath Finanças
Neca Setubal,Brasil,CSO,Fundação Tide Setubal
Neymar,Brasil,Deportes,Paris St. Germain
Nicole Reich,México,Finanzas,BNP Paribas
Nicolás Caputo,Argentina,Holding,Grupo Caputo
Nicolás Jodal,Uruguay,Tecnología,GeneXus
Nina Silva,Brasil,Finanzas,Movimento Black Money
Nur Cristiani,México,Finanzas,JPMorgan PB
Octavio de Lazari Jr,Brasil,Finanzas,Bradesco
Olegario Vázquez Aldir,México,Holding,Grupo Empresarial Ángeles
Olimpia Coral Melo Cruz,México,Activista,Ley Olimpia
Olímpio Matarazzo Netto,Brasil,Finanzas,Pátria Investimentos
Ophelia Pastrana,México,OSC,Activista
Orlando Bravo,Puerto Rico,Inversionista,Thoma Bravo Co
Orlando Dovat,Uruguay,Servicios,Zonamerica
Pablo Ceriani,Argentina,Transporte,Aerolíneas Argentinas
Pablo Di Si,Argentina,Automotriz,Volkswagen
Pablo Iuliano,Argentina,Energía,YPF
Pablo Legorreta,México,Inversionista,Royalty Pharma
Pablo Vargas,Costa Rica,Alimentos y Bebidas,Britt
Paolo Rocca,Argentina,Energía y metales,Techint
Patrícia Chacon,Brasil,Finanzas,Liberty Seguros
Paula Altavilla,Argentina,Energía,Schneider Electric
Paula Santilli,Argentina,Alimentos y Bebidas,PepsiCo
